BasinID,Intercept,Beta_P,Beta_ET,Beta_Q
1,0.0208450409449773,0.526608538275601,-0.186406366448258,-2.92413147979845
2,0.0125529860134858,1.79513110993356,-0.0532009150703523,-2.1883965795364
3,-0.0672025464853776,5.69757063848385,-0.201031608075019,-4.43788937896289
4,-0.049487061587654,4.20385441706942,-0.0440101384398335,-4.41623264618884
5,0.0261098164787901,6.48724769952503,0.0489062838564393,-5.40250168906503
6,-0.0389130548208712,7.93957436240047,-0.0437874948249151,-7.28835924979951
7,0.0510457891714442,5.31919823449044,-0.285486506051939,-6.18438548744589
8,-0.0021738163310611,7.74773085581788,-0.0228282183326387,-24.6454159703193
9,-0.0533868966948707,3.9704454162783,-0.137564291444707,5.04930209940509
10,-0.0100584554947646,2.89945687988594,-0.27122851934724,-7.93861500124675
11,0.0462855501492984,3.69029852104262,-0.244206703112244,-2.54514549149919
12,-0.0385305390030405,4.37574835158528,-0.276366269179677,-4.49147201396805
13,-0.0890771865497613,5.61887668602716,-0.641437153547889,-12.5978804436271
14,-0.0750830717380246,4.47651045237364,0.635424436598879,-5.87848681008072
15,-0.00438167516112023,6.63315471188193,-0.163723422827452,-9.53950183303245
16,0.0510254757913099,5.6360116605546,-0.20160590409933,6.61693578147728
17,0.0301561825853279,5.29373660528719,-0.111349997284337,-0.0159779310591884
18,-0.0324322928067582,5.05174307096393,-0.429156652582503,-8.7948670357692
19,0.0259059551832814,9.20265531442598,-0.259610044135492,-10.8771487038513
20,-0.00882025893893443,7.20875827143415,-0.365309472670962,-10.0533708627273
21,-0.0124909445631851,6.28359411535877,-0.22273168910346,-7.50120274521241
22,0.0464041308524854,4.2868341846689,-0.0310236984594084,1.91015754707968
23,0.0157097660830159,4.78433652201533,-0.274007059303044,-10.0154165653146
24,-0.0331021081829188,7.3347142194648,-0.159308993823149,-21.9685243975488
25,-0.050063653197554,4.73278040982895,-0.244435543345901,-5.84588701012357
26,0.130337403313244,5.2184681405332,0.017710380827072,1.16915584028626
27,-0.0324737424772181,3.15142447586202,0.0236835441281427,0.246905030672462
28,-0.0248941073818294,3.29855108084142,-0.347601864939634,-1.85992025303164
29,-0.0827618810301429,2.61851270204211,-0.383915362788874,0.0950983327501637
30,0.0639776809275628,4.17167655993271,-0.024055362606285,-106.359491835583
31,0.0292225937844633,9.99414405720266,-0.0257883912465397,-540.020522236697
32,0.0908686633953095,4.73024575558209,-0.33594315635467,-22.0729989269198
33,-0.0273552010491048,4.65091233253757,-0.0856865924003109,-8.91338796123235
34,0.0353265180641964,5.0533952733891,-0.185433535753262,7.3257537297428
35,0.0881183531597026,2.85167296632951,0.119496227769171,-182.629551034289
36,-0.125872650202613,7.12922765310917,0.393716103825408,-14.1990312050447
37,0.116716942176852,6.29994151834127,-0.12134843794708,-0.331418742675083
38,0.0890416246213658,2.86150527924944,-0.0712343413862821,-18.1395955996506
39,0.0845137364720336,6.699870350423,-0.0431041054791976,-21.0592805298707
40,0.00383819083887874,9.09962764942502,-0.0354766958561929,-336.58495304587
41,-0.043929797482902,7.5232550105546,-0.0481087798771361,-190.196641511908
42,-0.0154652221744507,4.19842381222557,0.0360001779207443,-12.0806020175274
43,0.110475998824303,7.15149753010187,-0.385216328723581,-6.76274348713203
44,-0.0277238059439184,3.71336479251036,-0.467708852690652,-3.57529510608842
45,-0.0148849869990432,11.3283282776238,-0.150927730037178,-501.671866935422
46,0.017282332934858,7.11021411801761,-0.29857912338531,-8.29475524551423
47,0.00420485733654194,6.01817860998702,-0.17145709038408,3.1783685857502
48,-0.059274713068444,6.85684513524262,-0.259755733729028,-5.54354684002386
49,-0.105592764089836,5.31951189363913,-0.17976989374183,-1.96601096072642
50,-0.0356906618466966,0.85392432981368,0.157171665805134,-11.1241121040447
51,0.0551421679267134,6.42721664710301,0.0942724315798011,-5.53698330932101
52,0.0587728735073095,6.1863839252256,-0.116194138652221,1219.1071020954
53,-0.107548533994485,5.42394441014232,-0.0156314438071087,-5.2577471153312
54,-0.162080066855908,4.90887609060731,-0.205959403067415,-4.63679021088303
55,-0.0473170163806691,5.14772374216144,-0.421150797371336,-6.73363958301762
56,0.0388944279410762,3.63134494829389,-0.123570197171698,-30.8274091431794
57,0.00948771581423153,1.68513531178069,-0.0888241495697663,4.91842838721858
58,0.134211608677984,6.58385316418111,-0.193177749107409,-4.19932239895915
59,0.12055128559896,3.58577622085282,-0.147897295986564,-0.769685441968586
60,0.0122288294568202,3.36276959283875,-0.126457816889081,6.6614416565327
61,0.0538423874837181,4.47138658370016,-0.242831430265562,-5.49596165237105
62,-0.0535584295444737,4.26767673835713,-0.00693108892676453,-4.38445235988365
63,-0.110844751642131,6.2144621590322,-0.0185347350532396,-5.83802128762328
64,-0.0750303900603298,3.32381227360813,-0.12036344046583,-6.94916807843451
65,0.033914508082804,4.19486647991495,0.0705032413441376,-288.859609993779
66,0.0191981867602931,8.56005619791967,-0.222887695523442,-7.32412091314677
67,-0.0894266234529282,8.82925621316387,-0.138276797767344,-35.3495614766529
68,-0.21570626101778,4.52014587794681,-0.258107529039562,-2.64314781263635
69,-0.000119318127093593,3.96550942834524,-0.179277631506002,-20.9618960952058
70,0.0311373541992222,2.2789626216171,-0.058175126441644,-0.289281324564795
71,-0.105543396017205,8.37526244361497,-0.0990632825096474,-7.41456624420423
72,0.0320561615874621,3.46017487589948,0.107809659785656,-8.10270068069404
73,0.060825445525777,4.90092988222354,-0.2964031122684,-1.2611017214313
74,-0.126146384766538,12.2927197029327,-0.0428827834403166,-14.9407894197872
75,0.010623145604808,4.00838745889355,-0.0717591958864198,-3.5787708050287
76,-0.147557235764971,9.57793538148114,-0.0891590692887871,-3.72741506711362
77,0.0166339679790798,3.59385173339976,0.196123517804684,-2.02020237530674
78,0.0897109255988206,2.05086028247446,-0.0742252211067655,-0.914407243439596
79,0.039247149050225,4.00921020523879,0.0694538507673641,7.15843849724545
80,0.0355000559208651,9.45573660592107,-0.477189958072014,1.18981549749739
81,0.166599985448787,8.1904444886897,-0.192266950229074,8.24625693672572
82,0.0709029000651591,1.03840144122924,0.191910525275702,-1.03922298879906
83,-0.0606561052560078,5.16036076218025,0.0716135585777872,-9.34405489890238
84,0.0683445057338243,2.10588760982372,0.0090896537319619,-2.48641814686793
85,0.135164742590073,9.55359484611172,-0.242957121833628,5.81745658327894
86,-0.136358463070349,2.70712636345288,-0.118260885700794,-1.36047500663303
87,-0.198581040749781,6.45238660917836,-0.108704883420035,-0.651055914518609
88,-0.214043212967781,6.15518814909602,0.0218801687397403,1.7046527246797
89,-0.126518688349913,7.03670443004948,-0.12361271414108,-42.5594060056063
90,-0.0941070371297774,4.74311140897833,-0.201609095543938,-6.97033347862416
91,0.0468616773909492,7.25972384346288,-0.247447094987647,-5.83985975204094
92,-0.118694692059545,6.01526385367966,0.0846013197207624,-11.8292594796194
93,-0.0069520800416383,6.28573420126973,0.0081055420758329,-20.2476540364604
94,-0.017412139584832,2.22910638022346,-0.0344308615632117,-67.4425705707325
95,0.0110179051919419,3.49592521697004,0.0019138992596524,-11.2003033601813
96,0.0918858870194509,6.44583389938548,-0.429136496037848,-6.55710850404892
97,0.0443729922331404,3.72942962135743,0.0188357797286851,13.9793307174092
98,0.0280375866317726,3.5368854167459,-0.106015354128366,-3.1719469080225
99,0.0365256728253712,5.30316193674599,-0.0168112907302966,112.735769185232
100,0.00427478006987737,6.09521052935526,0.0102130680087031,-183.473085402586
101,0.0751862182189633,5.15985898327908,-0.0268966779888334,-368.132271645585
102,-0.0322437988663222,4.08054736153585,-0.302961010269167,-1.71177955225605
