Basin_ID,Basin_Name,Trend_cm_yr,p_value,Significant,NSE_Natural,NSE_Anthro,Delta_NSE,Delta_R2_Mean,Delta_R2_95_CI,Dominant_Driver,Area_km2,Trend_km3_yr
41,Rio Grande,-0.4288,4.6681e-07,1,0.0274,0.0522,0.0248,0.0207,"[-0.0358, 0.0814]",ET,648987.6103308869,-2.782858873098843
42,Indus,-0.5769,4.6365e-12,1,0.1433,0.169,0.0258,0.002,"[-0.0480, 0.0529]",P,1015438.1968763917,-5.858062957779904
43,Alabama,0.0978,0.5578,0,0.0902,0.1029,0.0127,0.0071,"[-0.0363, 0.0489]",P,116427.32685978417,0.11386592566886893
44,Yangtze,0.2685,9.0662e-07,1,0.1849,0.2065,0.0216,0.0057,"[-0.0403, 0.0547]",P,1701152.4235032601,4.567594257106254
45,Helmand,-0.2516,6.4702e-05,1,0.1171,0.1654,0.0483,0.0341,"[-0.0120, 0.0816]",P,324148.03027928167,-0.8155564441826726
46,Brazos,-0.4585,0.067558,0,0.1928,0.1881,-0.0047,-0.0157,"[-0.0582, 0.0258]",P,112266.4541048781,-0.5147416920708662
47,Colorado River,-0.5142,0.0049901,1,0.0806,0.103,0.0224,0.0185,"[-0.0295, 0.0696]",P,115944.03071075861,-0.5961842059147209
48,Mekong,-0.0879,0.51224,0,0.1411,0.1591,0.018,0.0154,"[-0.0302, 0.0647]",P,814436.8764946617,-0.7158900144388077
49,Salween,-0.2768,0.020499,1,-0.0627,0.0126,0.0753,0.0174,"[-0.0391, 0.0793]",P,247522.36481831988,-0.6851419058171094
50,Dra,-0.0012,0.96219,0,-0.0638,-0.0289,0.035,0.0159,"[-0.0347, 0.0688]",GW_abs,93926.93699261853,-0.0011271232439114224
51,Ganges-Brahmaputra,-1.2502,2.678e-08,1,-0.0433,0.0407,0.0841,0.0287,"[-0.0228, 0.0807]",P,1655237.5991106,-20.693780464080724
52,Nile,0.1927,4.6105e-07,1,0.0952,0.1384,0.0432,0.0077,"[-0.0367, 0.0507]",P,3081559.195507354,5.938164569742672
53,Irrawaddy,-0.108,0.54243,0,0.0899,0.0797,-0.0103,-0.003,"[-0.0540, 0.0515]",P,386066.0931377768,-0.41695138058879905
54,Si,0.424,0.00045991,1,0.1368,0.1023,-0.0346,-0.0137,"[-0.0674, 0.0370]",P,456933.40643176064,1.9373976432706652
55,Song Hong,0.3505,0.0085291,1,-0.0077,0.0119,0.0196,0.0277,"[-0.0258, 0.0849]",P,179754.6950276817,0.6300402060720244
56,Niger,0.4462,6.1036e-06,1,-0.041,-0.0206,0.0203,-0.0074,"[-0.0540, 0.0399]",P,2198357.9419948766,9.80907313718114
57,Panuco,0.0214,0.80545,0,-0.0514,0.0185,0.0699,0.0009,"[-0.0502, 0.0505]",Q,106376.51442657856,0.02276457408728781
58,Narmada,0.3246,0.16244,0,0.023,0.0143,-0.0087,0.0008,"[-0.0534, 0.0577]",P,97071.72254631425,0.31509481138533607
59,Mahanadi,0.1699,0.45202,0,-0.0284,-0.0608,-0.0323,-0.0037,"[-0.0573, 0.0462]",P,149925.44890212573,0.25472333768471167
60,Santiago-Lerma-Chapala,0.0013,0.99147,0,0.1327,0.1154,-0.0174,0.0162,"[-0.0329, 0.0688]",P,129563.19475917118,0.0016843215318692254
61,Godavari,0.2373,0.30632,0,0.0365,0.0127,-0.0239,-0.001,"[-0.0590, 0.0536]",P,311978.8530548775,0.7403258182992244
62,Balsas,-0.0567,0.63326,0,-0.023,0.0046,0.0276,0.0267,"[-0.0278, 0.0801]",P,114250.68218156723,-0.06478013679694862
63,Chao Phraya,-0.3343,0.040975,1,0.0197,0.0482,0.0284,0.0105,"[-0.0395, 0.0595]",P,150957.35038299815,-0.5046504223303628
64,Krishna,-0.1401,0.5924,0,0.0215,0.062,0.0405,-0.0009,"[-0.0562, 0.0526]",Q,243241.16130841084,-0.34078086699308363
65,Senegal,0.2649,0.0077814,1,-0.0463,-0.0231,0.0231,0.0177,"[-0.0390, 0.0713]",Q,434676.3705159199,1.151457705496672
66,Usumacinta,-0.264,0.3406,0,0.0882,0.1031,0.015,-0.0226,"[-0.0687, 0.0257]",P,130316.8365588031,-0.34403644851524023
67,Volta,0.7207,3.7805e-05,1,0.077,0.1212,0.0441,-0.0105,"[-0.0588, 0.0448]",P,406876.5207591514,2.9323590851112042
68,Cauvery,-0.2963,0.22516,0,0.034,0.1119,0.0779,0.0006,"[-0.0429, 0.0457]",P,87804.53538675155,-0.2601648383509449
69,Awash,0.4034,0.0,1,0.0539,0.0809,0.027,-0.0085,"[-0.0609, 0.0447]",P,91387.00309360643,0.3686551704796084
70,Magdalena,-0.0199,0.8746,0,-0.0226,-0.0576,-0.0349,0.0037,"[-0.0540, 0.0600]",Q,233362.97546033625,-0.04643923211660692
71,Orinoco,-0.0823,0.74565,0,0.0142,0.0523,0.0381,0.0151,"[-0.0377, 0.0710]",P,952616.5466992215,-0.7840034179334593
72,Jubba-Shebelle,0.1887,0.0,1,0.0029,0.0622,0.0593,0.0189,"[-0.0379, 0.0734]",P,800879.9662587696,1.5112604963302982
73,Zaire,0.0979,0.071334,0,0.1313,0.1328,0.0014,0.0077,"[-0.0394, 0.0614]",P,3701828.8412178718,3.624090435552297
74,Essequibo,0.1327,0.63979,0,0.0974,0.0951,-0.0023,-0.0034,"[-0.0490, 0.0419]",P,153798.97498549544,0.2040912398057525
75,Sanaga,0.4415,0.0041293,1,-0.0187,-0.0117,0.007,-0.0166,"[-0.0681, 0.0338]",P,132255.20741176888,0.5839067407229597
76,Amazon,0.1503,0.27405,0,0.1703,0.1571,-0.0132,-0.0025,"[-0.0482, 0.0466]",P,6061078.338907051,9.109800743377297
77,Ogooue,0.1993,0.039998,1,0.0237,0.0251,0.0014,-0.0053,"[-0.0553, 0.0481]",P,222490.05820628154,0.44342268600511914
78,Kapuas,0.121,0.080479,0,-0.0888,0.0441,0.1329,0.0133,"[-0.0394, 0.0657]",P,101998.39213756456,0.12341805448645313
79,Tana,0.1287,0.096363,0,-0.0499,-0.0204,0.0295,0.0032,"[-0.0554, 0.0748]",P,95790.1893750057,0.12328197372563238
80,Tocantins,-0.6969,0.01769,1,0.3475,0.3646,0.0171,0.0184,"[-0.0253, 0.0625]",P,777921.8327857363,-5.421337252683796
81,Parnaiba,-0.6155,0.018891,1,0.3706,0.3673,-0.0034,-0.014,"[-0.0541, 0.0236]",P,331003.06217296346,-2.0373238476745907
82,Sepik,0.2401,2.2204e-16,1,-0.1463,-0.0646,0.0817,-0.0187,"[-0.0762, 0.0397]",Q,101667.15539772276,0.24410284010993238
83,Rufiji,-0.0031,0.95357,0,-0.0035,0.0242,0.0277,0.0175,"[-0.0307, 0.0672]",P,202013.39475443016,-0.006262415237387335
84,Fly,0.1691,4.8682e-07,1,-0.0502,-0.031,0.0192,-0.0036,"[-0.0579, 0.0508]",P,131871.00237344336,0.22299386501349275
85,Sao Francisco,-1.5285,3.5753e-05,1,0.4239,0.4332,0.0092,-0.0149,"[-0.0528, 0.0198]",P,608949.385933693,-9.307791363996499
86,Kwanza,-0.2145,0.34463,0,0.0635,0.0138,-0.0497,0.0118,"[-0.0411, 0.0649]",P,148640.22360881773,-0.31883327964091407
87,Zambezi,0.1535,0.65726,0,0.2708,0.2358,-0.035,-0.0074,"[-0.0506, 0.0340]",P,1384474.3917803373,2.125168191382818
88,Ruvuma,-0.5064,0.0045692,1,0.1218,0.1396,0.0178,0.0082,"[-0.0405, 0.0577]",Q,157220.31869078655,-0.7961636938501431
