Basin_ID,Delta_R2,Delta_R2_CI_2_5,Delta_R2_CI_97_5,Imp_P,Imp_P_CI_Low,Imp_P_CI_Upp,Imp_ET,Imp_ET_CI_Low,Imp_ET_CI_Upp,Imp_Q,Imp_Q_CI_Low,Imp_Q_CI_Upp,Imp_GW,Imp_GW_CI_Low,Imp_GW_CI_Upp,Imp_SW,Imp_SW_CI_Low,Imp_SW_CI_Upp
1,0.513060785592701,-0.0484761421378648,0.0230935482917609,0.0935768230330208,0.0847205434793149,0.188125904804256,0.185486951556256,0.132382593429378,0.281445472647083,0.0835866747149577,0.0703338739874775,0.16910608936721,0.0715266333023552,0.0608562236163441,0.160787697198746,0.0608849926281622,0.0549068334028299,0.130941833949861
2,-0.191679389388804,-0.0156417473031636,0.0647853792826472,0.0809830628777385,0.0671346781954432,0.19092347333853,0.130066852165973,0.121378439598495,0.255905399855942,0.0668075528159742,0.0541158224599029,0.192491769918854,0.10197164090906,0.0594876597933035,0.207157029441794,0.0872092812532577,0.059929580868062,0.202708271784084
3,-0.033342513803421,-0.00739975118397862,0.0663801813785727,0.161726972447127,0.126499573624344,0.274391872061463,0.116048466172477,0.0972446503072035,0.22533565959994,0.126831472141423,0.0740353049603622,0.249349650714452,0.116016374470264,0.100558696038436,0.200177442002228,0.0780373068985822,0.0774408299542215,0.203946829352986
4,0.297785976396172,-0.0338934286051795,0.0363743347055117,0.194637994024413,0.0849914268385913,0.302850805362986,0.085703983473233,0.0668254458211239,0.202756826915453,0.0951113720486456,0.0573909873928593,0.154328914258004,0.0597629819329281,0.05177763615717,0.151394697130141,0.0702163489371933,0.054663078107368,0.20083814682464
5,0.129301953523898,-0.0471842636848522,0.0524082712940406,0.368824808678323,0.12566056260938,0.475938324064782,0.163780882983568,0.138524927978263,0.362489279251529,0.0750150118995598,0.089008819982515,0.326673819038671,0.11222082685696,0.0846494351931635,0.243445037279167,0.123162745227652,0.0683994816895114,0.286124448137187
6,-0.19055241009762,-0.0231384015988745,0.0448809920629148,0.303268984825083,0.165745851651905,0.404060418285358,0.14383395076899,0.0955880505900735,0.256273862014659,0.110325208043655,0.10107323767933,0.285342325841669,0.175852004786864,0.0978751289455935,0.319487502790829,0.0866843346402733,0.0925174595900259,0.188845307427772
7,0.109944656719428,-0.0294743016347944,0.0468618475814579,0.279333194651107,0.198902426174706,0.414069845471423,0.136995921760927,0.103892187506931,0.235034198416745,0.209685752732471,0.167313442052773,0.323941606763357,0.117263616477741,0.0903486010015684,0.241800959493917,0.110747588881104,0.0843886094932104,0.328278117655384
8,-0.0486580978049989,-0.0231810868786647,0.0396962095363005,0.209988329361938,0.126386202362581,0.279234476554656,0.0712660737875427,0.0597144588325365,0.127491915218933,0.090159459178826,0.0620529353565937,0.1531856510554,0.102505481054595,0.0621623224938781,0.185585883689673,0.0465710570327029,0.0569842602718236,0.149514352883448
9,0.0524776795397761,-0.0209597244053226,0.0466290315463292,0.235681269247991,0.149306575620143,0.42885706761103,0.0951555269063766,0.0900535839085825,0.178671850639751,0.0705744466366652,0.0553218426516266,0.155138363803925,0.049575085311387,0.0567756533421443,0.171477490043901,0.0832194105167066,0.063658489084475,0.192209559488593
10,-0.0136552601698887,-0.043018145242783,0.0533349619714713,0.074537422189738,0.0430876015068964,0.120923776688699,0.058152197565856,0.0541178320514583,0.121866627192589,0.0372846428641649,0.0384836530539614,0.100511463597902,0.0482877629077203,0.0487376499378843,0.103914917293265,0.053937646897425,0.0465153726417753,0.121195020865903
