Basin_ID,Delta_R2_Mean,Delta_R2_Median,Delta_R2_SE,Delta_R2_CI_2_5,Delta_R2_CI_97_5,Imp_P_Mean,Imp_P_CI_Low,Imp_P_CI_Upp,Imp_ET_Mean,Imp_ET_CI_Low,Imp_ET_CI_Upp,Imp_Q_Mean,Imp_Q_CI_Low,Imp_Q_CI_Upp,Imp_GW_Mean,Imp_GW_CI_Low,Imp_GW_CI_Upp,Imp_SW_Mean,Imp_SW_CI_Low,Imp_SW_CI_Upp,Top_Driver_Prob_P,Top_Driver_Prob_ET,Top_Driver_Prob_Q,Top_Driver_Prob_GW,Top_Driver_Prob_SW
38,-0.00524835798571597,-0.0067707446141077,0.0322296241563012,-0.0638064375439694,0.0634768797019375,1.02539905456831,0.681374691065943,1.35794789666838,0.790456338848878,0.213549763686642,1.29539322563537,0.921256764258718,0.528695860925841,1.33673598052677,0.867671712530345,0.433791539540706,1.26006056871274,0.886205022398803,0.520952895474777,1.26789809477116,0.491,0.081,0.21,0.113,0.105
39,-0.000817592305876321,-0.00208060306986896,0.0331525387224828,-0.0631166820930311,0.0699775465391604,1.0301523344736,0.675441068184284,1.38797558055948,0.796988516026724,0.315796490488583,1.27252716519766,0.857880880145397,0.432804004238587,1.29010944447714,0.791061994403038,0.302876821816514,1.22684673066564,0.856108601171963,0.381491295172026,1.34134160357743,0.667,0.064,0.086,0.048,0.135
40,0.0365412951058254,0.0366249192194597,0.0273048091607654,-0.0219570797452471,0.0875460515129137,1.12546712472684,0.783650201474541,1.45520664958432,0.927474402982662,0.504440239964495,1.34551686004421,1.02884063109465,0.681401039180216,1.40852668789528,0.885424156946083,0.454874259963384,1.26900710821961,1.02482865512643,0.600952100662099,1.45030190262571,0.51,0.048,0.193,0.044,0.205
41,0.0254352247554445,0.0254706753266928,0.0262918524931045,-0.024852397041286,0.0768387763152226,1.06571682400303,0.682282054597509,1.42007538593032,0.860720825336673,0.431877781225785,1.27529954397817,0.851299385624871,0.419016482158335,1.27340512827571,0.885533163550295,0.356197795810567,1.34207908624012,0.807545357583875,0.309212362756976,1.2518811809461,0.697,0.075,0.055,0.123,0.05
42,0.0293787948215538,0.0300996000972639,0.0233681310196867,-0.0170391345770041,0.0752414704103554,1.13117174705721,0.827652141452106,1.43009724290758,0.697664171014901,0.224978894291297,1.21700957550817,0.740892324170433,0.173994688215639,1.24045849979583,0.871157341591698,0.449623806369907,1.3266363930167,0.8317603610338,0.346965659989941,1.29436456930004,0.863,0.012,0.015,0.062,0.048
43,0.00334671696865923,0.00278030924455502,0.0319950592123656,-0.0572662149854637,0.0724485979837168,1.16094059646773,0.781335672961637,1.51899200081075,0.791933079287181,0.312599376425552,1.27602989750395,0.996589227974077,0.580143865019596,1.38562785376078,0.869797844044434,0.442776992551399,1.30632027777564,0.846330990319972,0.36050166653401,1.32596126612738,0.77,0.014,0.147,0.02,0.049
44,0.0216846701700687,0.0223087732147319,0.0314641768884027,-0.0387294619689977,0.0832222165032598,1.30588488673443,0.953242205897275,1.66167168480996,0.92820676258666,0.555937511164462,1.28203782298463,0.881925266882978,0.393932645058214,1.32421995481003,0.947818441832296,0.520771338294689,1.31774847601809,0.894928391392001,0.511597359486785,1.27200000156509,0.913,0.008,0.021,0.028,0.03
45,0.0390773019479869,0.0402393999304226,0.0290552516364797,-0.0215740418573451,0.0987273224355996,1.16660548758257,0.840817338307476,1.48898878070183,1.00374812027354,0.59138121341855,1.37580002764672,0.843743173721308,0.373557175418446,1.27594672662621,0.857804466514199,0.440372495622431,1.22923134392714,0.987496931616205,0.575168866433238,1.36722017507022,0.653,0.166,0.024,0.009,0.148
46,0.0100096967588856,0.00886859685296071,0.0275712645744844,-0.0433551356043644,0.0653171053137431,1.10686278228837,0.830870726605324,1.39140158323346,0.99296532299743,0.638054925256805,1.34791739326058,1.02420531652021,0.70298217500316,1.3243698283706,0.911717461543006,0.557263006217204,1.28604285038662,0.834015606628808,0.409633180610984,1.24889541656424,0.539,0.16,0.231,0.05,0.02
47,0.00404230258747609,0.00229335826787974,0.0265908975164244,-0.0436892140255992,0.0598863694579552,1.06897387317237,0.746219292726509,1.36976405196483,0.925868273810978,0.513664526926785,1.33084978797625,0.980139646213888,0.594051225723729,1.32464335172481,0.854029846399703,0.355464537329975,1.31099658744983,0.864160618136457,0.329800360693071,1.33164094240233,0.562,0.109,0.199,0.056,0.074
48,0.083892816623251,0.0831876636866117,0.033890230431798,0.0176104801626848,0.154129019902291,0.954313656030981,0.496801677301429,1.35498576522237,0.759819745364991,0.290399038696754,1.17322462760964,0.929083060327935,0.534118098317758,1.30809579075752,0.936470833298243,0.537103145440976,1.31049312783118,1.00681976594623,0.686498706470689,1.31476352784323,0.258,0.021,0.142,0.211,0.368
49,5.26824459441644e-06,0.000681012808235626,0.0317246178840004,-0.0629169535022046,0.0632855691241594,0.991996212984007,0.564668774536031,1.41576520934965,0.851455706443379,0.399018577639838,1.29086350117849,0.827612716734602,0.321446767354761,1.29610689449238,0.747807742194412,0.238354101581786,1.22291012619846,0.852862479567166,0.305421787335104,1.35114510020288,0.579,0.119,0.09,0.027,0.185
50,0.00822780971112368,0.00784859627999634,0.0289271129193849,-0.0454632808251976,0.0676855281005587,0.939752880635159,0.553542573714989,1.32083581493128,0.902352120729611,0.502342595395455,1.28018574809099,0.886192910209769,0.485254858620308,1.26925677739743,0.839247592086306,0.361591007634311,1.26533257432017,0.757688153032628,0.249985036851615,1.22303668648126,0.366,0.237,0.229,0.112,0.056
51,0.0816899857828973,0.082142866792048,0.033352299959797,0.0148307716790995,0.142983363027767,1.0777341355321,0.770282652858363,1.38498820093562,0.776904857888463,0.286387093199561,1.25047797847346,0.89331299197752,0.508198833897896,1.25728532581153,1.28306572691822,1.03404006569357,1.56232481065606,0.982571494787039,0.612559670181606,1.36132285558629,0.108,0.004,0.007,0.839,0.042
52,0.0305761878616935,0.0306886987660452,0.0262865347596817,-0.0233051129281335,0.0784716132006142,1.02378263532467,0.640472281492336,1.3533276443664,0.799564367947214,0.329056186199545,1.23127753822351,1.01208800321572,0.646324607118684,1.36122639204336,0.864818237260126,0.437164447273916,1.27747697152685,0.863899155401896,0.399608520052215,1.30297734517514,0.441,0.063,0.374,0.059,0.063
53,0.0134989040383234,0.0117154116745789,0.0301444903975044,-0.0430260893162281,0.0738323365728078,0.940922963703514,0.53805513498609,1.34664165486092,0.868872791804346,0.351944371559941,1.3314658257665,0.842923667296577,0.303348272746695,1.30535488110401,0.79919152411055,0.264260523475824,1.28316806356445,1.06405828855453,0.636746436647859,1.43566668835843,0.188,0.078,0.064,0.033,0.637
54,0.00556300915128098,0.00401380925444922,0.0317199611596216,-0.053089203934622,0.0692333118175891,1.19617128705466,0.848977570896532,1.54768914799776,0.736898821613772,0.293547295501742,1.1883322751987,0.76275911307747,0.325602009131193,1.22086736494286,0.758635234501316,0.321777908444975,1.17260656521394,0.869381760933298,0.462367301212428,1.24642690269723,0.937,0.004,0.016,0.005,0.038
