Basin_ID,Trend_cm_yr,MK_p_value,Is_Significant,NSE_Natural,NSE_Anthro,KGE_Natural,KGE_Anthro,Diff_NSE
92,-0.31,0.00,1,0.40,0.39,-13.93,-34.57,-0.01
10,-0.22,0.00,1,0.02,0.00,-0.04,-0.15,-0.01
83,0.00,0.94,0,0.67,0.71,0.71,0.44,0.04
93,-0.31,0.00,1,0.45,0.44,0.03,-1.41,-0.01
18,-0.37,0.03,1,0.59,0.57,-0.40,-0.55,-0.02
86,-0.21,0.34,0,0.80,0.80,-0.03,-0.49,0.00
87,0.16,0.65,0,0.87,0.88,-3.48,-8.47,0.01
38,-0.62,0.00,1,0.18,0.16,0.28,0.19,-0.02
89,0.47,0.29,0,0.57,0.59,0.39,0.64,0.02
90,0.37,0.32,0,0.34,0.38,-0.64,-0.42,0.04
84,0.17,0.00,1,0.21,0.18,-0.11,-0.66,-0.02
1,-0.13,0.05,1,0.51,0.49,-17.01,-42.42,-0.03
8,-0.30,0.05,1,0.75,0.71,0.46,-3.31,-0.04
94,0.01,0.75,0,0.00,0.02,-0.23,-0.08,0.02
95,0.15,0.43,0,0.28,0.27,0.09,0.30,0.00
96,0.21,0.40,0,0.36,0.37,-9.07,-1.47,0.01
97,-0.12,0.68,0,0.06,0.11,-2.18,-1.19,0.05
98,-0.18,0.55,0,0.02,-0.02,-1.47,-5.24,-0.04
99,0.07,0.68,0,0.69,0.71,-0.91,-0.54,0.02
82,0.24,0.00,1,0.26,0.21,-0.10,-0.62,-0.04
101,0.07,0.40,0,0.85,0.88,0.49,0.01,0.03
102,-0.12,0.18,0,0.71,0.72,-0.67,-0.62,0.01
103,0.10,0.51,0,0.71,0.72,-1.21,-1.24,0.01
