BasinID,Intercept,Beta_P,Beta_ET,Beta_Q,Beta_GW,Beta_SW,Mean_Delta_R2
1,0.0159254035552577,0.513095110867797,-0.188879633196556,-2.9207380720817,-16237667131.4507,-5764794765.49503,0.0032038453371671
2,0.0164920820834351,1.78785226684727,-0.054792460902773,-2.12245519062464,-1055450566.85769,-7140724107.0473,0.00491681186257304
3,-0.080560956130471,5.68379260841228,-0.20027400784262,-3.77057597892565,23041950630.0865,200922474.000589,0.00642256649775901
4,-0.0476823874990107,4.16543541327772,-0.0421130170396251,-3.8137810605151,51372006435.2978,-486172.84211358,0.00527617346482954
5,0.0393605410544009,6.45230201809106,0.0584153065416889,-5.29257841449107,42723323427.5112,-51432712.4075729,0.00453292885269518
6,-0.0478631133755526,7.93094063801284,-0.0491042073337917,-6.68175635762662,3591620711.55056,44.0418518427121,0.00809843318177414
7,0.0408019190896285,5.27117976310591,-0.287005279224989,-6.24778949090847,101380344795.836,4011.02837387928,0.00533648758365668
8,-0.00795968044182863,7.59773706009208,-0.0497366075988726,-24.5724332797853,499220441.243262,29.3094816891475,0.00881872333193965
9,-0.0571076261903837,3.92558458880937,-0.142799536388736,5.63323533737708,-4685309479.71207,6430.52954413112,0.00829067115119895
10,-0.0226024480146389,2.85174869727666,-0.283150459204111,-5.03331331931469,11247443731.558,19742.5186498387,0.00798298183025782
11,0.0234719719221882,3.64195504426503,-0.248789400486699,-3.00219623624495,10439600171.9721,10212.2234928941,0.00772013524943281
12,-0.0452292616772108,4.25982460232391,-0.289774578736322,-4.80038450549578,-22729197.1225012,0.551534826753806,0.0130662649465369
13,-0.100319649502993,5.64366230715451,-0.646775965257516,-13.7973298193822,-24099029.2344497,0.997204007747321,0.00902069289604628
14,-0.0818458489155762,4.5391584241393,0.65853334941372,-6.50574855545306,18674826827.6071,54050.0842170926,0.00873925758122345
15,0.0237525507307476,6.61932482473458,-0.179446029192769,-8.92566164217728,769346.030871027,-0.14134985570091,0.0103627878693024
16,0.0458499207517975,5.57438178492061,-0.209729715433676,6.6929251495131,13542825903.1046,-15606745255.2151,0.0048611267772399
17,0.0428558317762495,5.15145523233298,-0.194306455788001,-2.62315314365718,-133651936.959374,2.30298985852312,0.0108454034517035
18,-0.0236083887063197,5.04137342290473,-0.420110432856316,-8.50124070998146,-7339603.30594048,-0.624401509560636,0.0118646274929572
19,0.0251490028486032,9.14955905136421,-0.266413623574799,-10.5256999557052,12468368.4480042,-0.497559999458188,0.00644305665013572
20,-0.0230187120085485,7.10733369013864,-0.347280218279206,-8.86468980639203,-5430633945.08323,3167.69233490685,0.0108887609127595
21,-0.0314297174310837,6.18861968246162,-0.227322702182446,-7.31715004271151,100056.786149615,4.660707043545,0.00679231769930852
22,0.016346250566368,4.35553933425347,-0.0350186230000192,1.78308041261229,-52733333612.819,2615.97343596335,0.00726487129718264
23,-0.0173132552017026,4.67481388039191,-0.274019389818682,-9.52400431371428,-96553813.0606252,149.057423171505,0.00872045320268689
24,-0.0252416053265815,7.26437391098341,-0.156264774478449,-21.2033931062989,-8930964.65645437,-625.365937568554,0.0100936048579476
25,-0.0474406454930188,4.55712204127162,-0.266604105918456,-5.71174314544311,909625884.648119,-3628.55866273126,0.0112962277882626
26,0.125168088130949,5.197717967187,0.0118037544821456,-0.00718954278259411,7184830063.32486,3136.24643081436,0.00652260184577139
27,-0.0494281748090228,3.41117458924407,0.0300700284541501,0.340486133182854,-6823379.72334579,2253.81954866465,0.0109134563049385
28,-0.0259173086994298,3.2991230008679,-0.354419359879547,-1.79185285734128,-4068685.6155202,18.5972693609598,0.00565648666329181
29,-0.048909846571083,2.5072668212697,-0.389245261050145,0.140975979831273,-129.860564281693,-28879.9715861311,0.00939005761517976
30,0.0637463602116593,4.16589951107253,-0.000714290110189711,-105.323967273756,6090858691.68549,-10393.4955709219,0.00660950851921722
31,0.0382641118905624,9.90215250796258,-0.0378040807911619,-536.767753398332,20910807534.3818,1849.33537803457,0.00952081989074968
32,0.07098004749489,4.80476250571923,-0.317486329249979,-22.6199729691305,-1900862.11963942,12.8340480149421,0.0106689524490921
33,-0.0540775333630869,4.526736214298,-0.0493277065797438,-19.2581338882856,-16740661028.7171,-13268.4672555318,0.0137555166237458
34,0.0227689817619126,5.01911136222331,-0.200959862707466,6.90286446135243,-25237302.2071653,-0.406090822892549,0.00855165019439142
35,0.0863861847206711,2.83980049212618,0.119065468584256,-186.371930222298,-31650883579.8522,-126478.205867008,0.00578098816132249
36,-0.13567213289442,7.12649993334623,0.402591897309992,-14.0001883335678,89697857.8853722,-1601.5178593981,0.0148495311594892
37,0.0848238695574354,6.26707120433405,-0.0795586151989084,0.148199496751129,50672084.3034346,-5034.45537274738,0.00728633294872956
38,0.101621611542173,2.85047985093537,-0.0519083856449117,-14.2592275114303,3828499279.80272,1755.99739392828,0.0085660745785413
39,0.0829176795854833,6.62089613495552,-0.0353038864363514,-17.9908663562004,-31272179.8105011,-1130.45839179252,0.0112258765633009
